iter	Passed	Remaining
0	4	415
1	8	410
2	12	397
3	14	340
4	16	315
5	18	288
6	19	264
7	21	249
8	25	253
9	27	245
10	28	231
11	29	219
12	31	208
13	32	198
14	33	188
15	34	179
16	35	171
17	35	163
18	38	162
19	40	160
20	41	156
21	42	151
22	43	145
23	44	140
24	45	135
25	45	130
26	46	126
27	47	121
28	48	117
29	48	113
30	49	110
31	50	108
32	51	105
33	54	104
34	56	104
35	57	101
36	57	98
37	58	96
38	59	93
39	60	90
40	61	88
41	61	85
42	62	82
43	63	80
44	63	77
45	64	75
46	65	73
47	66	71
48	66	69
49	69	69
50	70	67
51	71	66
52	72	64
53	73	62
54	73	60
55	74	58
56	75	57
57	76	55
58	76	53
59	77	51
60	78	50
61	79	48
62	79	46
63	80	45
64	81	43
65	82	42
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	91	32
74	92	30
75	93	29
76	93	28
77	94	26
78	95	25
79	96	24
80	96	22
81	98	21
82	100	20
83	101	19
84	102	18
85	103	16
86	103	15
87	104	14
88	105	13
89	106	11
90	106	10
91	107	9
92	108	8
93	109	6
94	109	5
95	110	4
96	111	3
97	111	2
98	113	1
99	115	0
